Exercise,Category,Equipment,Difficulty,MuscleGroup,CaloriesBurnedPer30Min,RecommendedSets,RecommendedReps
Lateral Raises,Strength,Dumbbells,Intermediate,Shoulders,75,3,12
Inverted Rows,Bodyweight,TRX Straps,Intermediate,Back,110,3,10
Pistol Squats,Bodyweight,None,Advanced,Legs,160,3,8
Incline Bench Press,Strength,Barbell,Intermediate,Chest,130,4,8
Hanging Leg Raises,Bodyweight,Pull-up Bar,Advanced,Core,100,3,12
Box Squats,Strength,Box,Intermediate,Legs,140,3,10
Medicine Ball Slams,Plyometric,Medicine Ball,Intermediate,Full Body,180,3,15
Renegade Rows,Strength,Dumbbells,Advanced,Back,120,3,10
Decline Push-ups,Bodyweight,Bench,Intermediate,Chest,110,3,12
Sumo Deadlifts,Strength,Barbell,Advanced,Legs,190,3,6
Seated Calf Raises,Strength,Machine,Beginner,Legs,65,3,15
Farmers Walk,Strength,Dumbbells,Intermediate,Full Body,150,3,30sec
Plyometric Push-ups,Plyometric,None,Advanced,Chest,170,3,10
Barbell Hip Thrusts,Strength,Barbell,Intermediate,Glutes,130,3,12
Dumbbell Lunges,Strength,Dumbbells,Intermediate,Legs,140,3,10
Cable Woodchoppers,Strength,Cable Machine,Intermediate,Core,90,3,12
Assault Bike,Cardio,Assault Bike,Advanced,Full Body,240,1,15min
Resistance Band Pull-aparts,Strength,Resistance Band,Beginner,Shoulders,60,3,15
Flutter Kicks,Bodyweight,None,Beginner,Core,70,3,30sec
Single-leg Romanian Deadlifts,Strength,Dumbbells,Advanced,Legs,120,3,10
Sled Push,Cardio,Sled,Advanced,Full Body,220,3,30sec
Seated Leg Press,Strength,Machine,Beginner,Legs,110,3,12
Concentration Curls,Strength,Dumbbells,Beginner,Arms,60,3,12
Wall Balls,Cardio,Medicine Ball,Intermediate,Full Body,170,3,15
Bodyweight Skull Crushers,Bodyweight,Bench,Intermediate,Triceps,80,3,12
Incline Bench Press,Strength,Barbell,Intermediate,Chest,130,4,10
Bulgarian Split Squats,Bodyweight,Bench,Intermediate,Legs,160,3,12
Medicine Ball Slams,Plyometric,Medicine Ball,Intermediate,Full Body,190,3,15
Dumbbell Lunges,Strength,Dumbbells,Intermediate,Legs,140,3,10
Chin-ups,Bodyweight,Pull-up Bar,Intermediate,Back,120,3,8
Hanging Leg Raises,Bodyweight,Pull-up Bar,Advanced,Core,110,3,12
Box Squats,Strength,Box,Intermediate,Legs,170,3,8
Farmer's Walk,Strength,Dumbbells,Intermediate,Full Body,150,3,60sec
Decline Push-ups,Bodyweight,Bench,Intermediate,Chest,110,3,12
Cable Woodchoppers,Strength,Cable Machine,Intermediate,Core,95,3,15
Inverted Rows,Bodyweight,Barbell,Beginner,Back,100,3,12
Sled Push,Cardio,Sled,Advanced,Full Body,230,3,30sec
Lateral Raises,Strength,Dumbbells,Beginner,Shoulders,75,3,15
Pistol Squats,Bodyweight,None,Advanced,Legs,140,3,6
Ab Wheel Rollouts,Bodyweight,Ab Wheel,Intermediate,Core,100,3,10
Barbell Hip Thrusts,Strength,Barbell,Intermediate,Glutes,130,3,12
Resistance Band Pull-aparts,Strength,Resistance Band,Beginner,Shoulders,60,3,15
Stair Climbing,Cardio,Stairs,Intermediate,Legs,200,1,15min
Tricep Dips,Bodyweight,Bench,Beginner,Arms,80,3,12
Dumbbell Renegade Rows,Strength,Dumbbells,Intermediate,Back,120,3,10
Wall Balls,Plyometric,Medicine Ball,Intermediate,Full Body,180,3,15
Seated Calf Raises,Strength,Machine,Beginner,Legs,70,3,20
Barbell Rows,Strength,Barbell,Intermediate,Back,110,3,10
Front Squats,Strength,Barbell,Advanced,Legs,160,3,8
Jumping Lunges,Plyometric,None,Advanced,Legs,190,3,12
Incline Bench Press,Strength,Barbell,Intermediate,Chest,130,4,10
Bulgarian Split Squats,Bodyweight,Bench,Intermediate,Legs,160,3,12
Renegade Rows,Strength,Dumbbells,Advanced,Back,145,3,10
Medicine Ball Slams,Plyometric,Medicine Ball,Intermediate,Full Body,190,3,15
Farmers Walk,Strength,Dumbbells,Beginner,Full Body,110,3,60sec
